band_id,lane,position_px,size_bp,rf_value,is_ladder
B9,3,157,10000,0.27824267782426776,True
B10,3,168,8000,0.301255230125523,True
B11,3,184,6000,0.33472803347280333,True
B1,3,196,5000,0.3598326359832636,True
B2,3,209,4000,0.38702928870292885,True
B3,3,228,3000,0.42677824267782427,True
B4,3,256,2000,0.48535564853556484,True
B5,3,281,1500,0.5376569037656904,True
B6,3,304,1200,0.5857740585774058,True
B7,3,317,1000,0.6129707112970711,True
